word,familiar_classification,image,source,editing_needed,good_pic,aoa,AoAtestbased,use?,notes,version1,,,
duck,familiar,duck.png,MEM,n,,3.5,2,,,fam,,8,familiar_exp
butterfly,familiar,butterfly.png,BOSS,n,,3.67,2,,,fam,,8,familiar
cat,familiar,cat.png,CATegories,n,,3.68,2,,,fam,,11,somewhat familiar
cow,familiar,cow.png,BOSS,n,,3.94,2,,,fam,,0,somewhat unfamiliar
horse,familiar,horse.png,BOSS,n,,4.15,2,,,fam,,0,unfamiliar
frog,familiar,frog.png,CARE,n,,4.32,2,,,fam,,,
squirrel,familiar,squirrel.png,BOSS,n,,4.44,2,N,not a great picture,fam,,,
wolf,familiar,wolf.png,BOSS,n,,4.5,2,,,fam,,,
dog,familiar,dog.png,CATegories,n,,2.8,2,,,y,,,
bear,familiar,bear.png,BOSS,n,,3.58,2,,,y,,,
pig,familiar,pig.png,BOSS,n,,3.84,2,,,y,,,
rabbit,familiar,rabbit.png,BOSS,n,,3.94,2,,,y,,,
tiger,familiar,tiger.png,BOSS,n,,4,2,,,y,,,
turtle,familiar,turtle.png,BOSS,n,,4.17,2,,,y,,,
zebra,familiar,zebra.png,BOSS,n,,4.79,2,,,y,,,
elephant,familiar,elephant.png,BOSS,n,,4.8,2,,,y,,,
koala,somewhat_familiar,koala.jpg,dimy,y,,6,10,,,y,,,
dolphin,somewhat_familiar,dolphin.png,BOSS,n,,6.05,10,,,y,,,
flamingo,somewhat_familiar,flamingo.png,BOSS,n,,6.32,6,,,y,,,
raccoon,somewhat_familiar,raccoon.png,BOSS,n,,6.79,2,,,y,,,
porcupine,somewhat_familiar,porcupine.png,BOSS,n,,6.89,6,,,y,,,
hippopotamus,somewhat_familiar,hippopotamus.png,BOSS,n,,7,4,,,y,,,
lobster,somewhat_familiar,lobster.png,BOSS,n,,7.44,2,,,y,,,
jaguar,somewhat_familiar,jaguar.png,BOSS,n,,7.78,4,,,y,,,
sloth,somewhat_unfamiliar,sloth.jpg,chen,y,,8.37,12,,,y,,,
antelope,somewhat_unfamiliar,antelope.png,BOSS,n,,8.39,4,,,y,,,
armadillo,somewhat_unfamiliar,armadillo.jpg,dimy,y,,8.608885,8,,,y,,,
aardvark,somewhat_unfamiliar,aardvark.jpg,chen,y,,9.89,14,,,y,,,
chameleon,somewhat_unfamiliar,chameleon.png,BOSS,n,,10.18,12,,,y,,,
manatee,somewhat_unfamiliar,manatee.jpg,Moreno,y,,10.56,14,,,y,,,
alpaca,somewhat_unfamiliar,alpaca.jpg,dimy,y,,10.81,12,,,y,,,
lynx,unfamiliar,lynx.png,BOSS,n,,10.53,13,,,y,,,
tapir,unfamiliar,editing_needed,dimy,y,,11.23,13,,,y,,,
wombat,unfamiliar,editing_needed,dimy,y,,11.31,13,,,y,,,
narwhal,unfamiliar,narwhal.png,BOSS,n,,12.14,12,,,y,,,
cormorant,unfamiliar,cormorant.png,BOSS,n,,14.22,13,,,y,,,
echidna,unfamiliar,echidna.jpg,chen,y,,NA,12,,,y,,,
nyala,unfamiliar,nyala.png,BOSS,n,,NA,NA,,,y,,,
pangolin,unfamiliar,pangolin.jpg,dimy,n,,NA,13,,,y,,,
tarsier,unfamiliar,tarsier.jpeg,Wikimedia,y,,NA,NA,,,y,,,
bird,familiar,bird.png,CATegories,n,,3.52,2,N,lots of birds in the other items (coud be confusing),,,,
fish,familiar,fish.png,CATegories,n,,4.05,2,N,other fish items,,,,
fox,familiar,fox.png,BOSS,n,,5.017476,2,,,,,,
seal,familiar,seal.png,BOSS,n,,5.42,2,,,,,,
shark,familiar,shark.png,BOSS,n,,5.47,4,N,overlap with whale shark,,,,
penguin,familiar,penguin.jpg,Moreno,n,,5.68,2,,,,,,
