"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","3","0.0-0.0","p039","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","170","0.0-1.0","p039","3","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","13203","0.0-2.0","p039","3","2","","","","","","13034","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","15474","0.0-3.0","p039","3","2","","","","","","2268","","","[""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/frog.png""]","frog","stims/images/frog.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","19838","0.0-4.0","p039","3","2","","","","","","60617.634666666665","","","[""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/frog.png""]","frog","","familiar","practice_pretest","familiar","stims/audio/find_frog.wav","7","stims/images/frog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","20945","0.0-5.0","p039","3","2","","","","","","1106.0000000000073","","","[""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","duck","stims/images/duck.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","24631","0.0-6.0","p039","3","2","","","","","","65405.168","","","[""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","duck","","familiar","practice_pretest","familiar","stims/audio/find_duck.wav","6","stims/images/duck.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","25612","0.0-7.0","p039","3","2","","","","","","980","","","[""stims/images/alpaca.png"",""stims/images/koala.png"",""stims/images/dog.png"",""stims/images/pangolin.png"",""stims/images/jaguar.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/tiger.png""]","pangolin","stims/images/pangolin.png","unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","8","30362","0.0-8.0","p039","3","2","","","","","","71132.50133333333","","","[""stims/images/alpaca.png"",""stims/images/koala.png"",""stims/images/dog.png"",""stims/images/pangolin.png"",""stims/images/jaguar.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/tiger.png""]","pangolin","","unfamiliar","pretest","3","stims/audio/wheres_pangolin.wav","5","stims/images/tarsier.png","0","","","","","","","","","","","","",""
"coact-test-prompt","9","31406","0.0-9.0","p039","3","2","","","","","","1043.0000000000146","","","[""stims/images/dog.png"",""stims/images/jaguar.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/alpaca.png"",""stims/images/antelope.png"",""stims/images/koala.png"",""stims/images/pangolin.png""]","tarsier","stims/images/tarsier.png","unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","10","39454","0.0-10.0","p039","3","2","","","","","","80219.704","","","[""stims/images/dog.png"",""stims/images/jaguar.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/alpaca.png"",""stims/images/antelope.png"",""stims/images/koala.png"",""stims/images/pangolin.png""]","tarsier","","unfamiliar","pretest","3","stims/audio/find_tarsier.wav","5","stims/images/antelope.png","0","","","","","","","","","","","","",""
"coact-test-prompt","11","40848","0.0-11.0","p039","3","2","","","","","","1393","","","[""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/alpaca.png"",""stims/images/tarsier.png"",""stims/images/pangolin.png"",""stims/images/koala.png"",""stims/images/dog.png""]","tiger","stims/images/tiger.png","familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","12","45258","0.0-12.0","p039","3","2","","","","","","86014.264","","","[""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/alpaca.png"",""stims/images/tarsier.png"",""stims/images/pangolin.png"",""stims/images/koala.png"",""stims/images/dog.png""]","tiger","","familiar","pretest","3","stims/audio/wheres_tiger.wav","2","stims/images/tiger.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","46041","0.0-13.0","p039","3","2","","","","","","782","","","[""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/dog.png"",""stims/images/tarsier.png"",""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/pangolin.png"",""stims/images/koala.png""]","antelope","stims/images/antelope.png","somewhat unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","14","49649","0.0-14.0","p039","3","2","","","","","","90401.072","","","[""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/dog.png"",""stims/images/tarsier.png"",""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/pangolin.png"",""stims/images/koala.png""]","antelope","","somewhat unfamiliar","pretest","3","stims/audio/find_antelope.wav","0","stims/images/antelope.png","1","","","","","","","","","","","","",""
"coact-test-prompt","15","50251","0.0-15.0","p039","3","2","","","","","","600","","","[""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/jaguar.png"",""stims/images/alpaca.png"",""stims/images/antelope.png"",""stims/images/dog.png"",""stims/images/tarsier.png""]","alpaca","stims/images/alpaca.png","somewhat unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","16","60004","0.0-16.0","p039","3","2","","","","","","100751.86133333333","","","[""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/jaguar.png"",""stims/images/alpaca.png"",""stims/images/antelope.png"",""stims/images/dog.png"",""stims/images/tarsier.png""]","alpaca","","somewhat unfamiliar","pretest","3","stims/audio/find_alpaca.wav","7","stims/images/tarsier.png","0","","","","","","","","","","","","",""
"coact-test-prompt","17","61290","0.0-17.0","p039","3","2","","","","","","1285","","","[""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/koala.png"",""stims/images/tiger.png"",""stims/images/jaguar.png"",""stims/images/dog.png"",""stims/images/alpaca.png""]","dog","stims/images/dog.png","familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","18","64526","0.0-18.0","p039","3","2","","","","","","105262.82133333334","","","[""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/koala.png"",""stims/images/tiger.png"",""stims/images/jaguar.png"",""stims/images/dog.png"",""stims/images/alpaca.png""]","dog","","familiar","pretest","3","stims/audio/wheres_dog.wav","6","stims/images/dog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","19","65185","0.0-19.0","p039","3","2","","","","","","658","","","[""stims/images/antelope.png"",""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/dog.png"",""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/tarsier.png""]","jaguar","stims/images/jaguar.png","somewhat familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","20","71119","0.0-20.0","p039","3","2","","","","","","111852.928","","","[""stims/images/antelope.png"",""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/dog.png"",""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/tarsier.png""]","jaguar","","somewhat familiar","pretest","3","stims/audio/wheres_jaguar.wav","6","stims/images/jaguar.png","1","","","","","","","","","","","","",""
"coact-test-prompt","21","72238","0.0-21.0","p039","3","2","","","","","","1117","","","[""stims/images/pangolin.png"",""stims/images/alpaca.png"",""stims/images/koala.png"",""stims/images/dog.png"",""stims/images/antelope.png"",""stims/images/jaguar.png"",""stims/images/tiger.png"",""stims/images/tarsier.png""]","koala","stims/images/koala.png","somewhat familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","22","76082","0.0-22.0","p039","3","2","","","","","","116808.87466666667","","","[""stims/images/pangolin.png"",""stims/images/alpaca.png"",""stims/images/koala.png"",""stims/images/dog.png"",""stims/images/antelope.png"",""stims/images/jaguar.png"",""stims/images/tiger.png"",""stims/images/tarsier.png""]","koala","","somewhat familiar","pretest","3","stims/audio/find_koala.wav","2","stims/images/koala.png","1","","","","","","","","","","","","",""
"html-button-response","23","79608","0.0-23.0","p039","3","2","","","","","","3524","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-grid","24","88372","0.0-24.0","p039","3","2","","","","","","7454.000000000015","","","[""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/frog.png""]","","","","","familiar","","","","","[5,7]","[""stims/images/cow.png"",""stims/images/frog.png""]","[""cow"",""frog""]","[""stims/audio/its_cow.wav"",""stims/audio/its_frog.wav""]","left","[""stims/images/cow.png"",""stims/images/frog.png""]","[""stims/audio/its_cow.wav"",""stims/audio/its_frog.wav""]","[""cow"",""frog""]","passive","0","","",""
"coact-grid-choice","25","95350","0.0-25.0","p039","3","2","","","","","","6975.999999999985","","","[""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/frog.png""]","","","","","familiar","","","stims/images/frog.png","","","[""stims/images/cow.png"",""stims/images/frog.png""]","","","","[""stims/images/cow.png"",""stims/images/frog.png""]","[""stims/audio/its_cow.wav"",""stims/audio/its_frog.wav""]","[""cow"",""frog""]","active","0","1","stims/audio/its_frog.wav","[""stims/images/cow.png"",""stims/images/frog.png""]"
"coact-grid-choice-audio","26","98363","0.0-26.0","p039","3","2","","","","","","3003","","","[""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/frog.png""]","","","","","familiar","","","stims/images/frog.png","","","","","","","","","","active","0","","stims/audio/its_frog.wav","[""stims/images/cow.png"",""stims/images/frog.png""]"
"coact-grid","27","103905","0.0-27.0","p039","3","2","","","","","","4233","","","[""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/jaguar.png"",""stims/images/alpaca.png"",""stims/images/antelope.png"",""stims/images/tiger.png""]","","","","","3","","","","","[0,2]","[""stims/images/tarsier.png"",""stims/images/koala.png""]","[""tarsier"",""koala""]","[""stims/audio/thats_tarsier.wav"",""stims/audio/thats_koala.wav""]","left","[""stims/images/tarsier.png"",""stims/images/koala.png""]","[""stims/audio/thats_tarsier.wav"",""stims/audio/thats_koala.wav""]","[""tarsier"",""koala""]","passive","0","","",""
"coact-grid-choice","28","106372","0.0-28.0","p039","3","2","","","","","","2465","","","[""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/jaguar.png"",""stims/images/alpaca.png"",""stims/images/antelope.png"",""stims/images/tiger.png""]","","","","","3","","","stims/images/tarsier.png","","","[""stims/images/tarsier.png"",""stims/images/koala.png""]","","","","[""stims/images/tarsier.png"",""stims/images/koala.png""]","[""stims/audio/thats_tarsier.wav"",""stims/audio/thats_koala.wav""]","[""tarsier"",""koala""]","active","0","0","stims/audio/thats_tarsier.wav","[""stims/images/tarsier.png"",""stims/images/koala.png""]"
"coact-grid-choice-audio","29","109381","0.0-29.0","p039","3","2","","","","","","3003","","","[""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/jaguar.png"",""stims/images/alpaca.png"",""stims/images/antelope.png"",""stims/images/tiger.png""]","","","","","3","","","stims/images/tarsier.png","","","","","","","","","","active","0","","stims/audio/thats_tarsier.wav","[""stims/images/tarsier.png"",""stims/images/koala.png""]"
"coact-grid","30","113054","0.0-30.0","p039","3","2","","","","","","2366","","","[""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/koala.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/pangolin.png""]","","","","","3","","","","","[1,6]","[""stims/images/jaguar.png"",""stims/images/dog.png""]","[""jaguar"",""dog""]","[""stims/audio/thats_jaguar.wav"",""stims/audio/thats_dog.wav""]","left","[""stims/images/jaguar.png"",""stims/images/dog.png""]","[""stims/audio/thats_jaguar.wav"",""stims/audio/thats_dog.wav""]","[""jaguar"",""dog""]","passive","1","","",""
"coact-grid-choice","31","126084","0.0-31.0","p039","3","2","","","","","","13028","","","[""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/koala.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/pangolin.png""]","","","","","3","","","stims/images/jaguar.png","","","[""stims/images/jaguar.png"",""stims/images/dog.png""]","","","","[""stims/images/jaguar.png"",""stims/images/dog.png""]","[""stims/audio/thats_jaguar.wav"",""stims/audio/thats_dog.wav""]","[""jaguar"",""dog""]","active","1","0","stims/audio/thats_jaguar.wav","[""stims/images/jaguar.png"",""stims/images/dog.png""]"
"coact-grid-choice-audio","32","129093","0.0-32.0","p039","3","2","","","","","","3000","","","[""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/koala.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/pangolin.png""]","","","","","3","","","stims/images/jaguar.png","","","","","","","","","","active","1","","stims/audio/thats_jaguar.wav","[""stims/images/jaguar.png"",""stims/images/dog.png""]"
"coact-grid","33","133950","0.0-33.0","p039","3","2","","","","","","3550","","","[""stims/images/alpaca.png"",""stims/images/koala.png"",""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/pangolin.png""]","","","","","3","","","","","[1,3]","[""stims/images/koala.png"",""stims/images/antelope.png""]","[""koala"",""antelope""]","[""stims/audio/its_koala.wav"",""stims/audio/its_antelope.wav""]","right","[""stims/images/antelope.png"",""stims/images/koala.png""]","[""stims/audio/its_antelope.wav"",""stims/audio/its_koala.wav""]","[""antelope"",""koala""]","passive","2","","",""
"coact-grid-choice","34","141844","0.0-34.0","p039","3","2","","","","","","7891","","","[""stims/images/alpaca.png"",""stims/images/koala.png"",""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/pangolin.png""]","","","","","3","","","stims/images/antelope.png","","","[""stims/images/koala.png"",""stims/images/antelope.png""]","","","","[""stims/images/antelope.png"",""stims/images/koala.png""]","[""stims/audio/its_antelope.wav"",""stims/audio/its_koala.wav""]","[""antelope"",""koala""]","active","2","0","stims/audio/its_antelope.wav","[""stims/images/antelope.png"",""stims/images/koala.png""]"
"coact-grid-choice-audio","35","144855","0.0-35.0","p039","3","2","","","","","","3003","","","[""stims/images/alpaca.png"",""stims/images/koala.png"",""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/pangolin.png""]","","","","","3","","","stims/images/antelope.png","","","","","","","","","","active","2","","stims/audio/its_antelope.wav","[""stims/images/antelope.png"",""stims/images/koala.png""]"
"coact-grid","36","148356","0.0-36.0","p039","3","2","","","","","","2193","","","[""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/koala.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/dog.png""]","","","","","3","","","","","[0,6]","[""stims/images/alpaca.png"",""stims/images/pangolin.png""]","[""alpaca"",""pangolin""]","[""stims/audio/thats_alpaca.wav"",""stims/audio/thats_pangolin.wav""]","right","[""stims/images/pangolin.png"",""stims/images/alpaca.png""]","[""stims/audio/thats_pangolin.wav"",""stims/audio/thats_alpaca.wav""]","[""pangolin"",""alpaca""]","passive","3","","",""
"coact-grid-choice","37","160019","0.0-37.0","p039","3","2","","","","","","11662","","","[""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/koala.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/dog.png""]","","","","","3","","","stims/images/pangolin.png","","","[""stims/images/alpaca.png"",""stims/images/pangolin.png""]","","","","[""stims/images/pangolin.png"",""stims/images/alpaca.png""]","[""stims/audio/thats_pangolin.wav"",""stims/audio/thats_alpaca.wav""]","[""pangolin"",""alpaca""]","active","3","0","stims/audio/thats_pangolin.wav","[""stims/images/pangolin.png"",""stims/images/alpaca.png""]"
"coact-grid-choice-audio","38","163029","0.0-38.0","p039","3","2","","","","","","3003","","","[""stims/images/alpaca.png"",""stims/images/jaguar.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/koala.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/dog.png""]","","","","","3","","","stims/images/pangolin.png","","","","","","","","","","active","3","","stims/audio/thats_pangolin.wav","[""stims/images/pangolin.png"",""stims/images/alpaca.png""]"
"coact-grid","39","166356","0.0-39.0","p039","3","2","","","","","","2019.000000000029","","","[""stims/images/antelope.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/jaguar.png"",""stims/images/pangolin.png"",""stims/images/alpaca.png"",""stims/images/koala.png""]","","","","","3","","","","","[3,6]","[""stims/images/tarsier.png"",""stims/images/alpaca.png""]","[""tarsier"",""alpaca""]","[""stims/audio/its_tarsier.wav"",""stims/audio/its_alpaca.wav""]","right","[""stims/images/alpaca.png"",""stims/images/tarsier.png""]","[""stims/audio/its_alpaca.wav"",""stims/audio/its_tarsier.wav""]","[""alpaca"",""tarsier""]","passive","4","","",""
"coact-grid-choice","40","182182","0.0-40.0","p039","3","2","","","","","","15825","","","[""stims/images/antelope.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/jaguar.png"",""stims/images/pangolin.png"",""stims/images/alpaca.png"",""stims/images/koala.png""]","","","","","3","","","stims/images/alpaca.png","","","[""stims/images/tarsier.png"",""stims/images/alpaca.png""]","","","","[""stims/images/alpaca.png"",""stims/images/tarsier.png""]","[""stims/audio/its_alpaca.wav"",""stims/audio/its_tarsier.wav""]","[""alpaca"",""tarsier""]","active","4","0","stims/audio/its_alpaca.wav","[""stims/images/alpaca.png"",""stims/images/tarsier.png""]"
"coact-grid-choice-audio","41","185191","0.0-41.0","p039","3","2","","","","","","3003","","","[""stims/images/antelope.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/tarsier.png"",""stims/images/jaguar.png"",""stims/images/pangolin.png"",""stims/images/alpaca.png"",""stims/images/koala.png""]","","","","","3","","","stims/images/alpaca.png","","","","","","","","","","active","4","","stims/audio/its_alpaca.wav","[""stims/images/alpaca.png"",""stims/images/tarsier.png""]"
"coact-grid","42","193165","0.0-42.0","p039","3","2","","","","","","6658","","","[""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/dog.png"",""stims/images/koala.png"",""stims/images/pangolin.png"",""stims/images/jaguar.png"",""stims/images/tiger.png"",""stims/images/alpaca.png""]","","","","","3","","","","","[5,1]","[""stims/images/jaguar.png"",""stims/images/tarsier.png""]","[""jaguar"",""tarsier""]","[""stims/audio/its_jaguar.wav"",""stims/audio/its_tarsier.wav""]","left","[""stims/images/jaguar.png"",""stims/images/tarsier.png""]","[""stims/audio/its_jaguar.wav"",""stims/audio/its_tarsier.wav""]","[""jaguar"",""tarsier""]","passive","5","","",""
